Title,Review
12 Angry Men,"For a while I was not very receptive to watching films that were too old. I always thought it would be difficult to get involved in the context, I couldn't be more wrong! 12 angry men, is a great example of how a simple film can do magic with good actors, and what great actors they are!"
12 Angry Men,"Shot in real time, this story of a jury trying to decide whether a young man is innocent or guilty never lets the viewer's attention go. Henry Fonda plays Juror #8, who is convinced the entire time that the defendant is innocent, while everyone else has already called him guilty. Throughout the movie, we not only get to hear everyone's opinions on the matter, but also every possibility of the verdict. With ""12 Angry Men"", Sidney Lumet brought to the screen the same kind of ""closing in"" feeling that he brought to movies like ""Network"". In the end, the issue is not whether the defendant is innocent or guilty; the important point is the process by which the jurors reached their decision. This may be THE perfect movie."
Fight Club,"Everything about Fight Club is simply amazing. The acting, the directing, and the story is simply superb. However, going into this film I had already had had some of the major twists spoiled for me, and this is a movie that relies so heavily on those twists that knowing them will detract from the experience significantly. Because of that, the film is really only worth seeing of you have no prior knowledge of it whatsoever."
Fight Club,"I'm not much into graphic violence. This film transcends that. It has wonderful direction, and, even though it is brutal, it takes things to another ledge. Edward Norton is really controlled as he realizes his power. It's too easy to throw in spoilers so I will leave things to the viewer. The search for self and the growing cult around Fight Club made me suspicious. Still, to watch what happens to the two men at the center and what they are without Fight Club is the core. One of the neat things about this film is seeing it a second town makes it even better. The mental byplay between Pitt and Norton increases tension to explosiveness. If you want to see what can happen to a story when put in masterful hands, read the book (which is outstanding), and see the movie. They show that art forms can treat the same material, each in their own ways."
The Matrix,"The film is as well crafted as the matrix itself! On another level entirely to any other science fiction film from the last 20 years . Getting lost in another world, is interly what Cinema is made for. This one takes you into a whole new universe interly ."
The Matrix,"So much greatness about this well done crafty philosophical masterpiece! One of the greatest films ever made; a true benchmark in cinema and huge meticulously brilliant cabinet file of important metaphors. I smile so much while watching The Matrix, I'm so happy it had a 20th anniversary. I'm beyond intrigued by these types of society thought-provoking gems; there aren't enough of them!!"
Inglourious Basterds,"No, I'm not speaking of Brad Pitt; I'm speaking of German actor Christoph Waltz! He has won just about every award for his performance in this film, and he deserves every single one of them. Take my Challenge: Watch this film and see if you don't get the chills whenever Christoph Waltz's character is 'interrogating' his suspects! Ooooo! He is ULTRA polite with each one; and has supreme confidence in his scary, chilling, bold mannerisms. All I can say is: ""You see this movie for Christoph Waltz's performance; all the rest is secondary""!"
Inglourious Basterds,"Aside from the Kill Bill's I have not seen any other Tarantino film. I heard this one was good and so I watched. It's great. From the opening scene you are mesmerized by Christoph Waltz's unnerving performance. He gets a lot of credit and rightfully so. Hans Lands is possibly one of the greatest movie villains of all time. There so many iconic moments and Tarantino demonstrates how normal dialogue scenes can become suddenly intense with words alone. Every actor gives it their all with Brad Pitt giving a memorable performance as well. This movie is worth watching just for its opening but it also has back to back quality scenes that are well shot and have excellent dialogue. The movie balances it's comedy with excellent dark moments reminding viewers that this is indeed a WW2 film. Overall, my favourite Tarantino film of the three I've seen and might be for some time. Worth watching for Christoph Waltz."
Incendies,"A bona fide masterpiece. As simple as that. It is ironic that one of the best films about the Middle East conflict, and specifically the tragic civil war in Lebanon, should be made by a Canadian film maker. Incendies is based on a play but it feels as though it has been adapted from a great literary work. In fact there is no specific mention of any country in the film but no one can be in any doubt that the unnamed country is Lebanon."
Incendies,"Seeing the end in 1 hour and 15 minutes is like a jigsaw suddenly clear. It is difficult to agree with the mother's motivation setting. True love is silence and commitment, swallowing and digesting alone. It is my suffering that is settled and cut off by me today. I will never force a pair of children to embark on the journey of inheriting pain and cocoon. If the director tells his mother to hide the truth, and passes away with a secret, and the children actively pursue the answer, the ending will be even more shocking."
Prisoners,"A very good movie, I felt a little bored while watching the film, especially in the first half of the film, the acting was excellent among the main actors, especially Hugh Jackman, who presented the role of the perfectly collapsed father, the story of the film was interesting and interesting, but the villain of the film was a disappointment I expected him A lot, the film would have been better if it were shorter, but it is still an excellent film and I recommend watching it."
Prisoners,"This was the film that solidified Denis Villeneuve as a modern master of cinema. I will never forget when I first watched Prisoners. I was unequivocally enthralled and invested by the direction, cinematography (from the GOAT Roger Deakins), acting and layered writing. Hugh Jackman delivers not only his best performance, but one of the best of all time. Jake Gyllenhaal delivers one of his best as well. Paul Dano, Viola Davis, Maria Bello, David Datsmalchian, the list goes on. This film was cruelly disrespected by The Oscars in every aspect. The film is titled Prisoners not just because of the abduction of two children, but because many of the characters are trapped within the confines of their individual psychology's. Therefore, they are prisoners to their own internal maze's. If your trying to get into cinema, add Prisoners to the the top of your watchlist."
Laughing at Danger,"Richard Talmadge has just been thrown over by the seventeenth only girl he'll ever love and his father, who has just invented a clockwork death ray says he needs excitement. So when his father's secretary, who is a spy, steals the key part and Richard has to rescue it and pretty Eva Novak, he thinks it's all an act to pep him up -- and goes along with the gag. Talmadge started out as Douglas Fairbanks Sr.'s stuntman, and his comedies -- of which this is the best -- are peppered with Fairbanks-style physical gags. Later, after his career as a movie lead faded out, he returned to being a stunt man and stunt director, in many ways paralleling the career of Yakima Canutt. But while neither became a huge star, they turned out some good movies and this one is a heck of a lot of fun."
The Prestige,"I won't say it's an underrated movie, but it has somewhat been buried by the legacy of other ""popular"" Nolan movies. With this movie, Nolan shows his ability to make a metacinematic film, yet again. This is obviously my most favorite Christopher Nolan movie, along with ""Memento"" (2000). Just like you can relate the theme of memories and interpretations shown in the story of ""Memento"" with the actual experience we had while watching the movie, we can relate the three acts of a magic trick narrated within the story with the movie itself. As the movie says, the final reveal in a magic trick is the most thrilling experience. So is that of this movie. In fact, the whole movie can be weirdly related to a magic trick. It is one of those movies which feel quite ordinary until a major twist makes it great. Speaking of the cinematic experience, it is a typical Nolan styled movie. It has broken timelines to enhance the storytelling, but unlike in most of his movies these are done more artistically than just for the thrilling reveal. This is perhaps the movie where Nolan's broken timelines have enhanced the storytelling in the most brilliant way. Like in most of movies, he dwells in a single theme - here it's obsession. The obsession of Robert Angier is what drives the plot of the movie, and is well established and doesn't even feel forced. There is a protagonist, and an antagonist in this movie. The character development is done so smoothly that we see the protagonist become an antagonist, while the antagonist remains somewhat the same. Though we don't get a full ""interchange"" between the antagonist and the protagonist, as the movie progresses, the protagonist feels more ""wrong"" than the antagonist. That's quite a difficult thing that it pulls off. Alfred Bordon is one of the most ""complex"" characters I have ever seen. He feels like some kind of a prick throughout the movie, and there are a lot of scenes to establish it for the viewers. That's until we get to know his character in the third act. It doesn't make him right for his wrong doings, but he gets the respect for his dedication as a magician. The whole Tesla plotline might feel like a convenient plot device, but Tesla is a scientist who is rumoured to travel through time. So, that is quite justifiable. Hugh Jackman has given a solid performance. This must go down as his best performances with those of ""Prisoners"" (2013) and ""Logan"" (2017). He is completely out of his public persona of Wolverine. He is the best possible choice for Wolverine imo, but reminder of Wolverine every time he appears on screen isn't so adorable. He didn't remind me of Wolverine at all, in this movie. But, the major highlight of the movie would be Christian Bale. He has given a terrific performance. You don't even get a hint at the complexity of the character he is portraying. It's after the reveal and in fact, in the second viewing that you start noticing the actual stuffs and the actual interpretations a particular scene is to be given. All in all, it's a fantastic movie. The way obsession play out to be the main theme, the way broken timelines are used for storytelling and the way the final twist is revealed - simply excellent. It gets a special ""10/10"" and an ""A+""."
The Prestige,"I went to see a critics preview of The Prestige this afternoon and to my surprise I found the film to be one of the best I have seen all year so far, and that writers can come up with an excellent script it they would only try a little harder. The acting performances by Hugh Jackman, Christian Bale and Michael Caine were the best I have see in a long while. The only objection I had to the film was that it was a little long, but once you leave the theater you will discuss the film and it many twists and turns. My wife and myself discussed it all the way home from the movie theater. This is a winner and should be up for some academy award statues, and my recommendation is go see this as soon as you can, you will not be disappointed."
The Prestige,"a film about magic at different levels. the magic as art. the magic as axis of life. art as only way to survive. beautiful, mysterious, ambiguous and almost impeccable. in fact, brilliant job. and this status is result of delicate-precise mixture of acting, impeccable story, splendid atmosphere and the feeling than competition escapes from the screen. a seductive detail - David Bowie as Nikola Tesla, a role who gives to film a special flavor. at first sigh, story of a cruel fight for success. or a portrait of manipulation art. in fact, fresco of a time. and one of admirable roles for Christian Bale and Hugh Jackman."
V for Vendetta,"Placed in futuristic Britain, this movie tells a story about dictatorship and the man who became symbol of it's downfall. People from many, not to say majority, countries in today's world can easily identify with the characters. Great adaptation of DC comic and always gladly seen Natalie Portman."
V for Vendetta,"A masked messiah seeks to topple fascist rule, despotic government's so brutal and so cruel, all diversity has gone, being different is now wrong, poor Britannia is no longer calm and cool. The police have spies and cameras everywhere, their eyes and ears observe the wires, seize and snare, but disguises cause surprises, hero V knifes, Fawkes and prises, to derail those, that sit in the top chairs. Removing dread, concern and fear is the key, which V does tormentingly to friend Evey, enables her to have the power, as the clock counts down the hour, to raze a tomb that sets the shackled people free."
The Martian,"I heard a lot about this film regarding its scientific validity as a piece of fiction. Perhaps as a result of this I assumed that the film would be a dry affair – an impression sort of confirmed by the longer than normal running time. As it happens, this is not the case at all because The Martian has much more in common with the entertaining blockbuster that the starry cast list and presentation suggest it will be. The story wears its science very much on its sleeve, but yet makes it accessible and fun – with the slick presentation making it so. As a result everything seems to be explained with everyday objects, and even the most complex principles are presented in simple terms (references to Iron Man for instance). As a result the film gets to have its cake and eat it – although the film is helped by the knowledge of a lot of this being possible (eg hitting a point near Pluto recently with very tight tolerances on a journey of years)."
The Martian,"This is a rare, light-hearted science fiction film that deliberately downplays the most common fears about the future and the unknown universe, focusing instead on human effort and the science that can save humanity.The film has a tech-geek's idiocy and optimism. (Matt Damon, of course, did it perfectly.)Even if the movie is a little bit stereotypical in its emotional setting, it can still touch the audience at crucial moments."
Blade Runner 2049,"It's very rare when a modern sequel/reboot is equal to the original in terms of quality, but this movie is that rare one. It carries over the sweeping and hypnotizing cinematography, it continues the storyline in a natural way, it references the original, but doesn't rip it off, it introduces new concepts without ruining the continuity, it expands on the themes presented in the original in a very natural way, it doesn't drag nearly as much as said original and it's got a more compelling protagonist. I have a feeling I'll just enjoy this movie more and more as time goes by, and I already love it a lot. It's a movie with a lot to unpack, and I have no doubt it will improve even more on rewatches."
Blade Runner 2049,"This is an amazing piece of work. It has incredible artistry. As a visual exercise, it is breathtaking. I thought the original was way ahead of its time in creating a milieu, a dystopian world, full of disease and commercialism. Given the wonders of modern times, the world where this takes place is nonpareil. Ryan Gosling is out to eliminate the old replicants because there is a secret which needs to kept. The hierarchy is doing what it can to keep a world event from eliminating the awful world they have created. Goslin has memories, but they could have been implanted in him, so he is continually torn by dealing with details that may or may not be true. He needs to return to the place of his childhood. Harrison Ford reprises his original role of Deckard, now old and living in the ruins of Las Vegas. Evil is in control, but there is hope. The final scenes are incredible and puzzling, but it is a great challenge to the viewer."
Incendies,"This movie needs more recognition i couldn't believe it was released in 2010 it is that kind of movie which will stick until you die do watch this movie with little patience every aspect of the movie is masterpiece i.e cinematography,editing,screenplay,music,direction,performance this is the only movie i consider best after the shawshank redemption and it deals with somewhat same thing i.e.hope just watch this movie and get prepared to be amazed"
Incendies,"Seeing the end in 1 hour and 15 minutes is like a jigsaw suddenly clear. It is difficult to agree with the mother's motivation setting. True love is silence and commitment, swallowing and digesting alone. It is my suffering that is settled and cut off by me today. I will never force a pair of children to embark on the journey of inheriting pain and cocoon. If the director tells his mother to hide the truth, and passes away with a secret, and the children actively pursue the answer, the ending will be even more shocking."
